排名,球员姓名,球队,比赛场次,出场时间,得分,篮板,助攻,抢断,盖帽,投篮命中率,三分命中数,三分命中率%,罚球命中率
118,纳兹 里德,森林狼,80,27.5,14.2,6,2.3,0.7,0.9,46.2%,175,37.9%,77.6%
119,戴森 丹尼尔斯,老鹰,76,33.8,14.1,5.9,4.4,3,0.7,49.3%,80,34%,59.3%
120,弗雷德 范弗里特,火箭,60,35.2,14.1,3.7,5.6,1.6,0.4,37.8%,159,34.5%,81%
121,特雷 曼恩,黄蜂,13,24.5,14.1,2.9,3,0.5,0.3,43.5%,24,40%,90.5%
122,阿门 汤普森,火箭,69,32.2,14.1,8.2,3.8,1.4,1.3,55.7%,25,27.5%,68.4%
123,狄龙 布鲁克斯,火箭,75,31.8,14,3.7,1.7,0.8,0.2,42.9%,186,39.7%,81.8%
124,克莱 汤普森,独行侠,72,27.3,14,3.4,2,0.7,0.4,41.2%,216,39.1%,90.5%
125,托鲁 史密斯,活塞,1,22,14,8,0,0,0,66.7%,0,0%,66.7%
126,鲍比 波蒂斯,雄鹿,49,25.4,13.9,8.4,2.1,0.7,0.5,46.6%,65,36.5%,83.6%
127,托拜厄斯 哈里斯,活塞,73,31.6,13.7,5.9,2.2,1,0.8,47.7%,91,34.5%,86.1%
128,约什 哈特,尼克斯,77,37.6,13.6,9.6,5.9,1.5,0.4,52.5%,84,33.3%,77.6%
129,贾勒特 阿伦,骑士,82,28,13.5,9.7,1.9,0.9,0.9,70.6%,0,0%,71.8%
130,奥耶卡 奥孔古,老鹰,74,27.9,13.4,8.9,2.3,0.9,0.9,56.7%,48,32.4%,75.9%
131,拉塞尔 威斯布鲁克,掘金,75,27.9,13.3,4.9,6.1,1.4,0.5,44.9%,94,32.3%,66.1%
132,凯文 许尔特,公牛,26,30,13.2,3.3,3.2,1.2,0.3,43.9%,70,37.6%,71.4%
133,纳吉 马绍尔,独行侠,69,27.8,13.2,4.8,3,1,0.2,50.8%,60,27.5%,81.3%
134, 八村垒,湖人,59,31.7,13.1,5,1.4,0.8,0.4,50.9%,102,41.3%,77%
135,亚历克斯 萨尔,奇才,67,27.1,13,6.5,2.4,0.7,1.5,39.4%,105,30.8%,67.9%
136,布鲁克 洛佩兹,雄鹿,80,31.8,13,5,1.8,0.6,1.9,50.9%,139,37.3%,82.6%
137,丹吉洛 拉塞尔,湖人,29,24.7,12.9,2.8,5.6,1.1,0.7,36.7%,57,29.7%,82.6%
138,莫里茨 瓦格纳,魔术,30,18.8,12.9,4.9,1.4,0.8,0.4,56.2%,27,36%,71.8%
139,斯库特 亨德森,开拓者,66,26.7,12.7,3,5.1,1,0.2,41.9%,105,35.4%,76.7%
140,凯尔登 约翰逊,马刺,77,23.9,12.7,4.8,1.6,0.6,0.3,48.2%,87,31.8%,77.3%
141,马尔科姆 布罗格登,奇才,24,23.5,12.7,3.8,4.1,0.5,0.2,43.3%,16,28.6%,88%
142,扎卡里 里萨谢,老鹰,75,24.6,12.6,3.6,1.2,0.7,0.5,45.8%,122,35.5%,71.1%
143,克里斯 米德尔顿,雄鹿,23,23.2,12.6,3.7,4.4,0.7,0.2,51.2%,35,40.7%,84.8%
144,泰 杰尔姆,骑士,70,19.9,12.5,2.5,3.4,1.1,0.1,51.6%,111,43.9%,87.2%
145,桑迪 阿尔达马,灰熊,65,25.5,12.5,6.4,2.9,0.8,0.4,48.3%,120,36.8%,69.1%
146,基根 穆雷,国王,76,34.3,12.4,6.7,1.4,0.8,0.9,44.4%,154,34.3%,83.3%
147,朗尼 沃克四世,凯尔特人,20,23.9,12.4,3.2,2.5,0.5,0.3,42%,45,35.4%,80%
148,丹吉洛 拉塞尔,湖人,29,26.3,12.4,2.8,4.7,0.8,0.1,41.5%,56,33.3%,84.9%
149,阿约 多苏穆,公牛,46,30.3,12.3,3.5,4.5,0.9,0.4,49.2%,62,32.8%,78.5%
150,丹尼尔 加福德,独行侠,57,21.5,12.3,6.8,1.4,0.4,1.8,70.2%,0,0%,68.9%
151,比拉尔 库利巴利,奇才,59,33,12.3,5,3.4,1.3,0.7,42.1%,63,28.1%,74.6%
152,哈里森 巴恩斯,马刺,82,27.2,12.3,3.8,1.7,0.5,0.2,50.8%,156,43.3%,80.9%
153,杰登 麦克丹尼尔斯,森林狼,82,31.9,12.2,5.7,2,1.3,0.9,47.7%,100,33%,81.3%
154,贾巴里 史密斯,火箭,57,30.1,12.2,7,1.1,0.4,0.7,43.8%,98,35.4%,82.5%
155,乔治斯 尼昂,老鹰,28,23,12.1,3,1.6,0.4,0.3,44.1%,76,41.3%,79.3%
156,德鲁 蒂默,篮网,9,28.2,12.1,7.2,2.2,0.4,0.1,44.1%,9,25.7%,62.5%
157,阿隆 维金斯,雷霆,76,22.9,12,3.9,1.8,0.8,0.2,48.8%,130,38.3%,83.1%
158,鲁迪 戈贝尔,森林狼,72,33.2,12,10.9,1.8,0.8,1.4,66.9%,0,0%,67.4%
159,阿隆 内史密斯,步行者,45,24.9,12,4,1.2,0.8,0.4,50.7%,84,43.1%,91.2%
160,塔里 伊森,火箭,57,24.9,12,6.4,1.5,1.7,0.9,48.7%,63,34.2%,76%
161,杰伦 杜伦,活塞,78,26.1,11.8,10.3,2.7,0.7,1.1,69.2%,0,0%,66.9%
162,摩西 布朗,独行侠,4,18.3,11.8,7.8,0.5,1,0.8,72.4%,0,0%,83.3%
163,凯文 波特,快船,30,19.9,11.7,3.9,3.7,1.3,0.1,49.4%,29,40.8%,87.1%
164,布兰丁 波齐姆斯基,勇士,64,26.8,11.7,5.1,3.4,1.1,0.2,44.5%,115,37.2%,75.8%
165,唐特 迪温琴佐,森林狼,62,25.9,11.7,3.7,3.6,1.2,0.3,42.2%,174,39.7%,77.8%
166,科里 基斯珀特,奇才,61,26.3,11.6,3,1.7,0.4,0.2,45.1%,120,36.4%,85.2%
167,约纳斯 瓦兰丘纳斯,国王,49,20,11.5,8.2,2.2,0.4,0.6,54.7%,7,25.9%,89.6%
168,贾里德 巴特勒,76人,28,24.4,11.5,2.5,4.9,1.1,0.3,42.6%,45,35.2%,87%
169,特雷 琼斯,公牛,18,25.3,11.5,3.2,4.9,1.1,0.3,57.2%,11,50%,88.2%
170,贾里德 罗登,猛龙,10,21.5,11.4,3.8,1.4,0.9,0.2,50.6%,12,32.4%,88%
171,卡伊 琼斯,独行侠,12,21.7,11.4,6.6,1.3,0.8,0.8,83.6%,1,33.3%,70%
172,杰里米 索汉,马刺,54,25.3,11.4,6.5,2.4,0.8,0.5,53.5%,28,30.8%,69.6%
173,博格丹 博格达诺维奇,老鹰,30,25,11.4,3.1,3.2,0.7,0.2,47.4%,61,42.7%,87.5%
174,图马尼 卡马拉,开拓者,78,32.7,11.3,5.8,2.2,1.5,0.6,45.8%,135,37.5%,72.2%
175,以赛亚 哈尔滕施泰因,雷霆,57,27.9,11.2,10.7,3.8,0.8,1.1,58.1%,0,0%,67.5%
176,马克斯 克里斯蒂,独行侠,32,30.4,11.2,4.2,2.5,0.9,0.3,41.1%,55,36.4%,86.2%
177,朱 霍勒迪,凯尔特人,62,30.6,11.1,4.3,3.9,1.1,0.4,44.3%,108,35.3%,90.9%
178,加里 特伦特,雄鹿,74,25.6,11.1,2.3,1.2,1,0.1,43.1%,180,41.6%,84.8%
179,沃克 科斯勒,爵士,58,30,11.1,12.2,1.7,0.6,2.4,66.3%,6,17.6%,52%
180,巴迪 希尔德,勇士,82,22.7,11.1,3.2,1.6,0.8,0.3,41.7%,203,37%,82.8%
181,蒂姆 哈达威,活塞,77,28,11,2.4,1.6,0.5,0.1,40.6%,168,36.8%,85.5%
182,斯宾塞 丁维迪,独行侠,79,27,11,2.6,4.4,0.9,0.2,41.6%,109,33.4%,80.2%
183,邓肯 罗宾逊,热火,74,24.1,11,2.3,2.4,0.5,0.1,43.7%,190,39.3%,88.7%
184,盖尔雄 亚布塞莱,76人,70,27.1,11,5.6,2.1,0.8,0.3,50.1%,104,38%,72.5%
185,布莱斯 森萨鲍,爵士,71,20.2,10.9,3,1.5,0.6,0.1,45.9%,157,42.2%,89%
186,乔丹 霍金斯,鹈鹕,56,23.6,10.8,2.8,1.2,0.5,0.4,37.2%,110,33.1%,81.6%
187,丹尼斯 施罗德,勇士,28,25.2,10.8,2.6,5.3,0.5,0.2,37.8%,32,30.2%,83.3%
188,凯利 奥利尼克,鹈鹕,20,25.4,10.7,5.9,3.6,0.9,0.6,50%,14,38.9%,75.4%
189,布兰登 波士顿,鹈鹕,42,23.6,10.7,3.2,2.2,1.3,0.2,43.6%,49,35%,78.8%
190,尼古拉 约维奇,热火,46,25.1,10.7,3.9,2.8,0.8,0.3,45.6%,78,37.1%,82.8%
191,克里斯 米德尔顿,雄鹿,14,22.1,10.7,3.7,3.4,1.3,0.2,41.3%,13,27.7%,86.8%
192,格雷森 阿伦,太阳,64,24.1,10.6,3,2.1,0.8,0.3,44.8%,149,42.6%,81.6%
193,特里 罗齐尔,热火,64,25.9,10.6,3.7,2.6,0.6,0.2,39.1%,91,29.5%,85.2%
194,基恩 约翰逊,篮网,79,24.4,10.6,3.8,2.2,1,0.4,38.9%,126,31.4%,77%
195,丹尼斯 施罗德,勇士,24,26.2,10.6,2.3,4.4,1,0.1,37.5%,37,32.2%,74.4%
196,奥比 托平,步行者,79,19.6,10.5,4,1.6,0.6,0.4,52.9%,110,36.5%,78.1%
197,多里安 芬尼-史密斯,湖人,20,29,10.4,4.6,1.6,0.9,0.6,45.9%,47,43.5%,62.5%
198,奥柴 阿巴基,猛龙,64,27.2,10.4,3.8,1.5,0.9,0.5,49.8%,101,39.9%,70.8%
199,格兰特 威廉姆斯,黄蜂,16,29.9,10.4,5.1,2.3,1.1,0.8,43.9%,27,36.5%,83.8%
200,杰伦 威尔斯,灰熊,79,25.9,10.4,3.4,1.7,0.6,0.1,42.5%,138,35.2%,82.2%
201,赫伯特 琼斯,鹈鹕,20,32.4,10.3,3.9,3.3,1.9,0.5,43.6%,22,30.6%,82.5%
202,何塞 阿尔瓦拉多,鹈鹕,56,24.4,10.3,2.4,4.6,1.3,0.3,39.2%,111,35.9%,81.1%
203,德安东尼 梅尔顿,勇士,6,20.2,10.3,3.3,2.8,1.2,0.3,40.7%,13,37.1%,62.5%
204,达维恩 米切尔,热火,30,31.6,10.3,2.7,5.3,1.4,0.3,50.4%,42,44.7%,70.2%
205,尼古拉斯 克拉克斯顿,篮网,70,26.9,10.3,7.4,2.2,0.9,1.4,56.3%,5,23.8%,51.3%
206,泰厄斯 琼斯,太阳,81,26.8,10.2,2.4,5.3,0.9,0.1,44.8%,166,41.4%,89.5%
207,卡里斯 勒维尔,老鹰,38,23.8,10.2,2.8,3.7,0.9,0.5,45.3%,60,40.5%,69.9%
208,昆廷 格里姆斯,独行侠,47,22.8,10.2,3.8,2.1,0.7,0.2,46.3%,80,39.8%,76.5%
209,以赛亚 乔,雷霆,74,21.7,10.2,2.6,1.6,0.6,0.1,44%,192,41.2%,82.1%
210,特伦登 沃特福德,篮网,44,20.8,10.2,3.6,2.6,0.6,0.3,46.9%,29,33%,76.2%
211,吕盖兹 多尔特,雷霆,71,29.2,10.1,4.1,1.6,1.1,0.5,43.5%,170,41.2%,71.7%
212,凯恩 布鲁克斯,鹈鹕,14,23.7,10.1,4.1,0.9,0.7,0.7,48.6%,14,32.6%,73.3%
213,贾斯汀 爱德华兹,76人,44,26.3,10.1,3.4,1.6,1,0.4,45.5%,69,36.3%,69.6%
214,德里克 琼斯,快船,77,24.3,10.1,3.4,0.8,1,0.4,52.6%,78,35.6%,70.3%
215,奥萨尔 汤普森,活塞,59,22.5,10.1,5.1,2.3,1.7,0.7,53.5%,11,22.4%,64.1%
216,博格丹 博格达诺维奇,老鹰,24,24.9,10,2.8,2,0.8,0.3,37.1%,44,30.1%,88.2%
217,扎伊尔 威廉姆斯,篮网,63,24.5,10,4.6,1.3,1,0.4,41.2%,103,34.1%,82.1%
218,安德鲁 内姆布哈德,步行者,65,28.9,10,3.3,5,1.2,0.2,45.8%,51,29.1%,79.4%
219,克里斯 布歇,猛龙,50,17.2,10,4.5,0.7,0.5,0.5,49.2%,70,36.3%,78.2%
220,斯科蒂 皮蓬,灰熊,79,21.3,9.9,3.3,4.4,1.3,0.4,48%,87,39.7%,71.3%
221,朱利安 尚帕涅,马刺,82,23.6,9.9,3.9,1.4,0.7,0.4,41.5%,178,37.1%,90.4%
222,尼克 史密斯,黄蜂,60,22.8,9.9,2.1,2.4,0.3,0.1,39.1%,104,34%,93.5%
223,特伦斯 曼恩,老鹰,30,22.7,9.8,3.1,2.1,0.6,0.1,54.1%,34,38.6%,66.7%
224,巴布 卡灵顿,奇才,82,30,9.8,4.2,4.4,0.7,0.3,40.1%,138,33.9%,81.2%
225,摩西 穆迪,勇士,74,22.3,9.8,2.6,1.3,0.8,0.4,43.3%,126,37.4%,79.7%
226,阿米尔 科菲,快船,72,24.3,9.7,2.2,1.1,0.6,0.1,47.1%,101,40.9%,89.1%
227,凯尔 菲利波夫斯基,爵士,72,21.1,9.6,6.1,1.9,0.7,0.3,50.2%,77,35%,65%
228,尼克 理查兹,太阳,36,22.7,9.5,8.6,0.6,0.2,0.8,60.5%,0,0%,82.2%
229,迈尔斯 麦克布莱德,尼克斯,64,24.9,9.5,2.5,2.9,1,0.3,40.6%,115,36.9%,81.3%
230,杰伦 威尔森,篮网,79,25.7,9.5,3.4,1.8,0.5,0.1,39.7%,122,33.7%,81.8%
231,托森 埃夫布奥姆万,快船,28,23.8,9.5,4.3,2,0.9,0.4,42.7%,24,31.2%,75.3%
232,马克斯 施特鲁斯,骑士,50,25.5,9.4,4.3,3.2,0.5,0.2,44.2%,113,38.6%,82.4%
233,尼基尔 亚历山大-沃克,森林狼,82,25.3,9.4,3.2,2.7,0.6,0.4,43.8%,141,38.1%,78%
234,特里斯坦 武克切维奇,奇才,35,14.7,9.4,3.7,1.1,0.3,0.7,49.6%,38,37.3%,77.6%
235,科尔 安东尼,魔术,67,18.4,9.4,3,2.9,0.7,0.5,42.4%,77,35.3%,82.3%
236,卡姆 惠特莫尔,火箭,51,16.2,9.4,3,1,0.6,0.3,44.4%,65,35.5%,75%
237,安东尼 布莱克,魔术,78,24.2,9.4,2.9,3.1,1.1,0.6,42.3%,62,31.8%,76.1%
238,凯尔 韦尔,热火,64,22.2,9.3,7.4,0.9,0.6,1.1,55.4%,35,31.5%,68.7%
239,凯文 波特,快船,45,19.6,9.3,3.6,3.2,1,0.2,42.3%,26,24.5%,64.5%
240,马库斯 斯马特,灰熊,15,18.7,9.3,1.9,2.5,1.1,0.2,44%,20,39.2%,68.6%
241,优素福 努尔基奇,太阳,26,18.1,9.2,6.5,2.6,0.7,0.7,49.7%,13,28.3%,62.7%
242,扎克 埃迪,灰熊,66,21.5,9.2,8.3,1,0.5,1.3,58%,18,34.6%,70.9%
243,AJ 约翰逊,雄鹿,22,27,9.1,2.4,3.1,0.5,0.1,38.1%,21,24.7%,88.6%
244,温德尔 卡特,魔术,68,25.9,9.1,7.2,2,0.8,0.6,46%,37,23.4%,73.7%
245,伊夫 米西,鹈鹕,73,26.8,9.1,8.2,1.4,0.5,1.3,54.7%,0,0%,62.3%
246,凯莱布 马丁,独行侠,31,30.4,9.1,4.4,2.2,1.1,0.6,43.5%,33,37.9%,62.2%
247,诺阿 克洛尼,篮网,46,22.7,9.1,3.9,0.9,0.5,0.5,35.8%,87,33.3%,83.8%
248,TJ 麦康奈尔,步行者,79,17.9,9.1,2.4,4.4,1.1,0.3,51.9%,15,30.6%,74%
249,达尔顿 克内克特,湖人,78,19.2,9.1,2.8,0.8,0.3,0.1,46.1%,128,37.6%,76.2%
250,AJ 劳森,独行侠,26,18.7,9.1,3.3,1.2,0.5,0.2,42.1%,33,32.7%,68.3%
251,温德尔 卡特,魔术,68,25.9,9.1,7.2,2,0.8,0.6,46%,37,23.4%,73.7%
252,艾尔 霍福德,凯尔特人,60,27.7,9,6.2,2.1,0.6,0.9,42.3%,114,36.3%,89.5%
253,帕特里克 威廉姆斯,公牛,63,25,9,3.8,2,0.8,0.5,39.7%,96,35.3%,72.3%
254,朱利安 斯特劳瑟,掘金,65,21.3,9,2.2,1.3,0.6,0.2,43.2%,94,34.9%,82.2%
255,德雷蒙德 格林,勇士,68,29.2,9,6.1,5.6,1.5,1,42.4%,80,32.5%,68.7%
256,基利安 海斯,篮网,6,27,9,3,5.2,0.7,0.7,41.9%,8,38.1%,83.3%
257,克林特 卡佩拉,老鹰,55,21.4,8.9,8.5,1.1,0.6,1,55.9%,0,0%,53.6%
258,约什 奥科吉,太阳,15,18.3,8.9,2.7,1.3,1.8,0.5,38.8%,16,32%,77.4%
259,尼克 理查兹,太阳,21,21,8.9,7.5,1.3,0.3,1.2,56.1%,0,0%,67.8%
260,卢克 肯纳德,灰熊,65,22.6,8.9,2.8,3.3,0.8,0.1,47.8%,113,43.3%,89.5%
261,约翰尼 朱赞,爵士,64,19.8,8.9,2.9,1.1,0.6,0.1,42.9%,118,37.6%,84.9%
262,斯维亚托斯拉夫 米哈伊柳克,爵士,38,20,8.8,2.4,2,0.5,0.2,39.1%,70,34.5%,80%
263,克里斯 保罗,马刺,82,28,8.8,3.6,7.4,1.3,0.3,42.7%,140,37.7%,92.4%
264,贾斯汀 尚帕涅,奇才,62,21.6,8.8,5.7,1,1,0.6,51.1%,74,38.3%,68.5%
265,以赛亚 科利尔,爵士,71,25.9,8.7,3.3,6.3,0.9,0.2,42.2%,42,24.9%,68.2%
266,乔治斯 尼昂,老鹰,51,20.6,8.7,3.7,1.3,0.3,0.1,47.7%,90,40%,79.3%
267,约纳斯 瓦兰丘纳斯,国王,32,16.9,8.7,7,1.8,0.5,0.6,55.6%,1,10%,84.7%
268,凯肖恩 乔治,奇才,68,26.5,8.7,4.2,2.5,1,0.7,37.2%,114,32.2%,75.3%
269,丹特 艾克萨姆,独行侠,20,18.6,8.7,1.7,2.8,0.6,0.2,47.8%,23,43.4%,74.2%
270,杰登 哈迪,独行侠,57,15.9,8.7,1.6,1.4,0.5,0.1,43.5%,76,38.6%,69.8%
271,德雷克 莱夫利二世,独行侠,36,23.1,8.7,7.5,2.4,0.6,1.6,70.2%,0,0%,63%
272,泰雷塞 马丁,篮网,60,21.9,8.7,3.7,2,0.6,0.2,40.6%,99,35.1%,79.3%
273,奥谢 布里塞特,凯尔特人,6,23.7,8.7,3.7,0.7,0.7,0.5,48.7%,6,33.3%,57.1%
274,马库斯 斯马特,灰熊,19,21.1,8.7,2.3,3.7,1.2,0.3,35.8%,29,32.2%,83.3%
275,科尔比 琼斯,国王,15,25.7,8.7,4.3,2.5,1.3,0.4,46.6%,12,30.8%,65.7%
276,肯塔维奥斯 考德威尔-波普,魔术,77,29.6,8.7,2.2,1.8,1.3,0.4,43.9%,113,34.2%,86.3%
277,莱斯特 奎诺内斯,鹈鹕,9,18.4,8.6,1.7,2.6,0.3,0.2,38.6%,13,31.7%,83.3%
278,扎克 科林斯,公牛,28,19.7,8.6,6.7,2.1,0.5,0.5,54.1%,18,30%,88.4%
279,贾科比 沃尔特,猛龙,52,21.2,8.6,3.1,1.6,0.8,0.2,40.5%,65,34.9%,79.5%
280,马塔斯 布泽利斯,公牛,80,18.9,8.6,3.5,1,0.4,0.9,45.4%,96,36.1%,81.5%
281,优素福 努尔基奇,太阳,25,23.7,8.6,9.2,1.9,0.9,0.6,45.4%,19,32.2%,69.6%
282,海梅 雅克,热火,66,20.7,8.6,4.4,2.5,0.9,0.2,46.1%,37,31.1%,75.4%
283,拉里 南斯,老鹰,24,19.3,8.5,4.3,1.6,0.8,0.5,51.6%,34,44.7%,69.2%
284,萨姆 豪泽,凯尔特人,71,21.7,8.5,3.2,0.9,0.6,0.2,45.1%,166,41.6%,100%
285,马克斯 克里斯蒂,独行侠,46,25.1,8.5,2.7,1.4,0.8,0.5,44.4%,60,36.8%,85.1%
286,杰伦 诺埃尔,鹈鹕,8,21,8.4,2.5,2.3,0.1,0.5,35.6%,8,29.6%,63.6%
287,布鲁斯 布朗,鹈鹕,18,19.6,8.4,3.8,1.6,0.9,0.2,43.5%,11,30.6%,89.7%
288,卡森 华莱士,雷霆,68,27.6,8.4,3.4,2.5,1.8,0.5,47.4%,74,35.6%,81.1%
289,基恩 埃利斯,国王,80,24.4,8.3,2.7,1.5,1.5,0.8,48.9%,139,43.3%,84.9%
290,达拉诺 班顿,开拓者,67,16.7,8.3,2,2.4,0.6,0.5,39.1%,72,32.4%,72.8%
291,布兰登 威廉姆斯,独行侠,33,14.8,8.3,1.8,2.3,0.7,0.2,52.1%,24,40%,83.3%
292,布兰登 克拉克,灰熊,64,18.9,8.3,5.1,1,0.8,0.6,62.1%,1,5.9%,70.1%
293,布鲁斯 布朗,鹈鹕,23,24.7,8.2,4.2,2.4,0.7,0.3,41%,16,35.6%,75%
294,杰伦 史密斯,公牛,64,15,8.2,5.6,1,0.3,0.7,46.6%,72,32.4%,80.9%
295,托里安 普林斯,雄鹿,80,27.1,8.2,3.6,1.9,1,0.2,45.7%,147,43.9%,81.3%
296,迈克 康利,森林狼,71,24.7,8.2,2.6,4.5,1.1,0.2,40%,127,41%,90%
297,佩顿 沃特森,掘金,68,24.4,8.1,3.4,1.4,0.7,1.4,47.7%,48,35.3%,69.3%
298,奥兰多 罗宾逊,国王,35,20.4,8.1,5.9,1.9,0.4,0.4,44.7%,16,34%,79.4%
299,昆滕 波斯特,勇士,42,16.3,8.1,3.5,1.3,0.4,0.4,44.9%,73,40.8%,77.8%
300,凯文 许尔特,公牛,43,20.9,7.9,2.8,1.7,0.8,0.4,41.3%,62,30.2%,71.4%
301,凯文 许尔特,公牛,43,20.9,7.9,2.8,1.7,0.8,0.4,41.3%,62,30.2%,71.4%
302,戴隆 夏普,篮网,50,18.1,7.9,6.6,1.8,0.8,0.8,52.1%,11,24.4%,75.7%
303,泰森 艾蒂安,篮网,7,21.6,7.9,1.3,1.7,0.4,0.1,32.7%,13,29.5%,80%
304,杰伦 胡德-斯基菲诺,湖人,13,23.2,7.8,2,2.8,0.4,0.5,37.1%,14,30.4%,84.2%
305,KJ 辛普森,黄蜂,36,23.4,7.8,3,3.1,0.9,0.2,34.6%,33,25.4%,82%
306,科迪 马丁,太阳,39,24.8,7.8,4.5,2.3,1.1,0.7,43.3%,40,32.3%,69.4%
307,卡洛 马特科维奇,鹈鹕,42,18.8,7.7,5,1.1,0.5,1,57.4%,21,31.8%,77.3%
308,朗佐 鲍尔,公牛,35,22.2,7.6,3.4,3.3,1.3,0.5,36.6%,67,34.4%,81.5%
309,奥斯卡 齐布韦,爵士,14,18.2,7.6,8.7,0.6,0.9,0.1,60%,0,0%,74.2%
310,加里森 马修斯,老鹰,47,17.7,7.5,1.9,1.3,0.6,0.3,39.7%,85,39%,82.1%
311,马蒂斯 塞布尔,开拓者,15,20.8,7.5,3.5,1.9,2.2,0.6,47.7%,21,43.8%,46.7%
312,瓦西里耶 米西奇,太阳,36,21.2,7.5,2.4,3.5,0.4,0,34.8%,45,36%,82.9%
313,理查恩 霍姆斯,奇才,31,17.2,7.4,5.7,1.4,0.3,0.7,64.7%,0,0%,83.3%
314,约什 格林,黄蜂,68,27.8,7.4,2.5,1.6,1.1,0.2,42.8%,97,39.1%,68.1%
315,AJ 格林,雄鹿,73,22.7,7.4,2.4,1.5,0.5,0.1,42.9%,155,42.7%,81.5%
316,科尔 斯威德,步行者,8,19.5,7.4,3.1,0.3,0.5,0.3,37.9%,15,35.7%,0%
317,谢克 米尔顿,湖人,27,18.2,7.4,1.9,2.4,0.6,0.1,46.5%,28,38.9%,75.8%
318,杰克 拉拉维亚,国王,47,20.9,7.3,4.4,2.8,0.9,0.4,49%,40,44.4%,69.8%
319,安德烈 德拉蒙德,76人,40,18.8,7.3,7.8,0.9,1,0.5,50%,3,15%,62.2%
320,里基 康斯尔,76人,73,17.1,7.3,2.9,1.3,0.4,0.2,38.2%,55,25.8%,80.4%
321,达米恩 鲍,尼克斯,15,24.7,7.3,3.3,3.7,1,0.1,32.3%,12,21.4%,86.7%
322,亚历克 伯克斯,热火,49,17.6,7.3,2.5,1.1,0.6,0.1,42.4%,88,42.5%,77.6%
323, 克雷伊奇,老鹰,57,20.2,7.2,2.7,2.6,0.6,0.5,49.7%,90,43.7%,71.1%
324,戴奎翁 普洛登,老鹰,6,12,7.2,1.8,0.3,0,0,64%,9,52.9%,100%
325,萨姆 梅里尔,骑士,71,19.7,7.2,2.2,1.5,0.7,0.2,40.6%,137,37.2%,96.6%
326,内奎万 汤姆林,骑士,5,12.6,7.2,4.2,0.4,0,0.2,40.6%,2,20%,72.7%
327,GG 杰克逊,灰熊,29,15.8,7.2,3.2,1,0.4,0.2,37.2%,32,33.7%,72.5%
328,博恩斯 海兰,老鹰,20,11.1,7.2,1.2,1.4,0.9,0.2,39.1%,31,38.8%,88.5%
329,特里斯坦 达席尔瓦,魔术,74,22,7.2,3.3,1.5,0.4,0.2,41.2%,80,33.5%,87.3%
330,戈加 比塔泽,魔术,70,20.4,7.2,6.6,2,0.7,1.4,61.1%,3,10.7%,63.9%
331,科林 卡斯尔顿,湖人,11,26.2,7.2,6.9,1.6,0.5,0.7,50%,2,25%,72.2%
332,凯利 奥利尼克,鹈鹕,24,16,7.1,3.7,2.3,0.7,0.3,50%,19,44.2%,79.1%
333,贾马尔 谢德,猛龙,75,19.6,7.1,1.5,4.2,0.8,0.1,40.5%,72,32.3%,76.8%
334,亚历克斯 卡鲁索,雷霆,54,19.3,7.1,2.9,2.5,1.6,0.6,44.6%,60,35.3%,82.4%
335,贾米森 巴特尔,猛龙,59,17.7,7.1,2.7,0.9,0.3,0.2,42.9%,105,40.5%,88.9%
336,杰伦 西姆斯,黄蜂,6,18.7,7,1,2,0.5,0.2,42.9%,6,40%,80%
337,马库斯 加雷特,黄蜂,4,19.8,7,1.5,3.3,0.8,0.5,40.7%,3,37.5%,75%
338,以赛亚 杰克逊,步行者,5,16.8,7,5.6,1,0.6,1.6,60.9%,0,0%,50%
339,杰夫 道汀,76人,41,15.1,7,1.5,1.9,0.6,0.3,48.7%,28,40%,73.3%
340,托马斯 布莱恩特,热火,56,15.1,6.9,3.9,0.9,0.5,0.6,51.5%,42,32.1%,83%
341,莱恩 邓恩,太阳,74,19.1,6.9,3.6,0.8,0.6,0.5,43%,82,31.1%,48.7%
342,安东尼奥 里夫斯,鹈鹕,44,15,6.9,1.4,0.9,0.5,0.1,45.6%,51,39.5%,80%
343,托里 克雷格,凯尔特人,9,12.6,6.9,2.8,0.6,0.2,0.1,48.9%,15,42.9%,75%
344,丘马 奥基基,骑士,7,24.4,6.9,6.1,1.9,0.7,0.4,54.5%,10,45.5%,66.7%
345,杰 赫夫,灰熊,64,11.7,6.9,2,0.6,0.3,0.9,51.5%,81,40.5%,78.6%
346,贾里德 巴特勒,76人,32,11.3,6.9,1.3,2.6,0.4,0.2,48.3%,15,36.6%,77.8%
347,卡梅隆 佩恩,尼克斯,72,15.1,6.9,1.4,2.8,0.5,0.2,40.1%,93,36.3%,90.7%
348,埃里克 戈登,76人,39,19.7,6.8,1.2,1.7,0.7,0.3,42.6%,56,40.9%,75%
349,贾克森 海斯,湖人,56,19.5,6.8,4.8,1,0.6,0.9,72.2%,0,0%,62.2%
350,波尔 波尔,太阳,36,12.4,6.8,2.9,0.6,0.3,0.7,52.5%,32,34.4%,76.9%
351,达坎 杰弗里斯,尼克斯,47,22.8,6.7,2.9,1.1,0.6,0.5,40.5%,55,33.5%,80%
352,凯尔 安德森,勇士,25,18.4,6.7,3.8,2.6,0.6,0.5,49.3%,6,33.3%,78.9%
353,马库斯 巴格利,76人,10,25.3,6.7,7,1,0.9,1.2,39.1%,5,15.6%,80%
