排名,球员姓名,球队,比赛场次,出场时间,得分,篮板,助攻,抢断,盖帽,投篮命中率,三分命中数,三分命中率%,罚球命中率
603,马特 莱恩,鹈鹕,19,3.6,1.5,0.4,0.2,0.1,0,32.3%,6,31.6%,100%
604,凯文 麦卡勒,尼克斯,4,7.3,1.5,2,0.5,0.3,0.3,28.6%,0,0%,100%
605,卡姆 克里斯蒂,快船,13,4.5,1.4,0.9,0.5,0.4,0.1,29.2%,2,15.4%,50%
606,克里斯 利文斯顿,雄鹿,21,5,1.4,1.7,0.2,0.2,0,33.3%,0,0%,75%
607,亚历克斯 莱恩,湖人,36,7.2,1.4,1.8,0.8,0.2,0.5,53.7%,1,16.7%,53.8%
608,科林 卡斯尔顿,湖人,10,4.6,1.4,0.9,0,0.1,0.1,20%,0,0%,90.9%
609,特雷 亚历山大,掘金,24,4.9,1.3,0.5,0.5,0.1,0.1,31.7%,3,17.6%,75%
610,斯宾塞 琼斯,掘金,20,6.3,1.3,0.9,0.3,0.3,0.3,32.4%,1,5.9%,100%
611,博恩斯 海兰,老鹰,4,4.3,1.3,0.3,1,0,0,66.7%,1,50%,0%
612,斯凯尔 拉比希埃,国王,4,3,1.3,0.8,0.3,0,0,50%,1,100%,0%
613,西迪 西索科,开拓者,17,3.2,1.3,0.6,0.4,0.1,0,50%,3,42.9%,16.7%
614,杰伦 布里奇斯,太阳,8,3.8,1.1,0.5,0,0,0,28.6%,2,28.6%,75%
615,科尔比 琼斯,国王,24,5.4,1.1,1,0.3,0.3,0.3,42.3%,4,40%,0%
616,泽维尔 蒂尔曼,凯尔特人,33,7,1,1.3,0.2,0.3,0.2,24.5%,5,15.6%,75%
617,卢克 特拉沃斯,骑士,12,7.3,1,1.7,0.7,0.1,0.1,25%,0,0%,100%
618,布拉克斯顿 基,掘金,3,3.7,1,0.7,0,0.7,0,0%,0,0%,50%
619,里斯 比克曼,勇士,2,2,1,0.5,0.5,0.5,0,100%,0,0%,0%
620,尤里 科林斯,勇士,2,8,1,1.5,2,1,0,33.3%,0,0%,0%
621,杰伦 马丁,篮网,3,1.7,1,0,0,0,0,50%,1,100%,0%
622,布莱斯 麦戈文斯,开拓者,13,2.5,1,0.2,0.2,0.1,0,28.6%,0,0%,83.3%
623,贾里德 罗登,猛龙,4,3,1,1,0.5,0.3,0,25%,0,0%,0%
624,丹尼斯 詹金斯,活塞,7,3.3,1,0.3,0.4,0,0,30%,1,14.3%,0%
625,埃尔弗里德 佩顿,鹈鹕,6,20.5,1,2.2,3.3,1,0.5,14.3%,0,0%,0%
626,安顿 沃特森,凯尔特人,9,2.4,0.9,0.3,0.2,0.1,0,44.4%,0,0%,0%
627,贾斯汀 米纳亚,开拓者,19,5.3,0.9,0.5,0.4,0.3,0.1,38.1%,2,20%,0%
628,以赛亚 克劳福德,国王,15,3.1,0.9,0.5,0.1,0.1,0.1,45.5%,1,20%,50%
629,乔 英格尔斯,森林狼,19,6,0.8,0.6,1.2,0.1,0,26.1%,3,20%,0%
630,PJ 多齐尔,森林狼,9,3.9,0.8,0.6,0.6,0.1,0,66.7%,2,66.7%,16.7%
631,哈里森 英格拉姆,马刺,5,7,0.8,1.8,0.6,0.6,0,50%,0,0%,0%
632,DJ 卡顿,猛龙,4,8.3,0.8,1,0.8,0.5,0,14.3%,0,0%,100%
633,斯坦利 乌姆德,雄鹿,22,3.9,0.7,0.8,0.2,0.1,0.3,19.2%,3,20%,50%
634,利亚姆 罗宾斯,雄鹿,13,4.4,0.7,0.9,0.2,0.2,0.2,25%,0,0%,50%
635,詹姆斯 约翰逊,步行者,12,3.1,0.7,0.5,0.3,0,0.2,36.4%,0,0%,0%
636,乌尔里希 乔姆切,猛龙,7,4.6,0.7,1.1,0.3,0,0.1,40%,0,0%,50%
637,马克斯韦尔 刘易斯,湖人,7,4.1,0.6,0.3,0.3,0.1,0,33.3%,0,0%,0%
638, 崔永熙,篮网,5,2,0.6,0.4,0,0,0,14.3%,0,0%,50%
639,特里斯坦 牛顿,森林狼,5,1.6,0.6,0,0.2,0,0,16.7%,0,0%,100%
640,雅各布 托平,老鹰,16,3.1,0.4,0.7,0.3,0.1,0,30%,0,0%,0%
641,戴什恩 尼克斯,森林狼,3,4.3,0.3,1.3,1,0,0,0%,0,0%,50%
642,马勒维 莱昂斯,雷霆,6,3.5,0.3,0.5,0.2,0,0,0%,0,0%,50%
643,马克 威廉姆斯,湖人,0,0,0,0,0,0,0,0%,0,0%,0%
644,瓦西里耶 米西奇,太阳,5,4.2,0,0.4,0.2,0,0,0%,0,0%,0%
645,特伦斯 戴维斯,雄鹿,1,8,0,1,1,0,0,0%,0,0%,0%
646,戴什恩 尼克斯,森林狼,0,0,0,0,0,0,0,0%,0,0%,0%
647,特里 泰勒,国王,2,2,0,0,0.5,0,0,0%,0,0%,0%
648,西迪 西索科,开拓者,0,0,0,0,0,0,0,0%,0,0%,0%
649,帕特里克 鲍德温,快船,0,0,0,0,0,0,0,0%,0,0%,0%
650,莱利 米尼克斯,马刺,1,7,0,2,0,0,0,0%,0,0%,0%
651,马克 麦克朗,魔术,2,5,0,0.5,1.5,0,0,0%,0,0%,0%
652,贾利尔 奥卡福,步行者,1,3,0,1,1,0,0,0%,0,0%,0%
653,瓦西里耶 米西奇,太阳,5,4.2,0,0.4,0.2,0,0,0%,0,0%,0%
654,特伦斯 戴维斯,雄鹿,1,8,0,1,1,0,0,0%,0,0%,0%
655,戴什恩 尼克斯,森林狼,0,0,0,0,0,0,0,0%,0,0%,0%
656,特里 泰勒,国王,2,2,0,0,0.5,0,0,0%,0,0%,0%
657,西迪 西索科,开拓者,0,0,0,0,0,0,0,0%,0,0%,0%
658,帕特里克 鲍德温,快船,0,0,0,0,0,0,0,0%,0,0%,0%
659,莱利 米尼克斯,马刺,1,7,0,2,0,0,0,0%,0,0%,0%
660,丹尼尔 泰斯,鹈鹕,0,0,0,0,0,0,0,0%,0,0%,0%
661,布兰登 英格拉姆,鹈鹕,0,0,0,0,0,0,0,0%,0,0%,0%
